日	יום
建议	המלצה
超级	סופר
彭	פנג
特色	תכונות
特色	תכונה
孔	קונג
孔	חור
卢	לו
文学	ספרות
影片	סרטים
影片	סרט
影片	סרטון
身份	זהויות
身份	זהות
基地	בסיסים
基地	בסיס
船	ספינה
船	סירה
十	עשר
银行	בנקים
银行	בנק
非洲	אפריקה
非洲	אפריקאית
支援	תמיכה
支援	תגבורת
西藏	טיבט
俄罗斯	רוסיה
北海道	הוקאידו
皇家	מלכותי
三十	שלושים
伦敦	לונדון
教堂	כנסיות
教堂	כנסיה
丝	משי
坡	מדרון
坡	פו
洞	חור
洞	מערה
洞	דונג
会议	ועידה
会议	פגישות
会议	פגישה
信息	מידע
计算机	מחשב
计算机	מחשבים
引擎	מנוע
引擎	מנועים
小时	שעות
小时	שעה
有些	כמה
王朝	שושלת
区域	אזור
区域	אזורים
以前	לפני
隧道	מנהרה
隧道	תעלות
湖南	הונאן
杂志	מגזין
杂志	מגזינים
平台	פלטפורמה
平台	בבמות
议会	פרלמנט
传统	מסורתית
传统	מסורת
剑	חרבות
剑	חרב
地点	מקום
地点	המקום
地点	המיקום
地点	מקומות
地点	מיקומים
大臣	שר
人工	מלאכותי
陆军	צבא
电	חשמל
电	חשמלית
梦	חלום
梦	חלומות
罗马	רומא
科学	מדע
科学	מדעי
乌克兰	אוקראינה
九龙	קאולון
佛教	בודהיזם
佛教	בודהיסטי
冰	קרח
太阳	השמש
太阳	שמש
竹	במבוק
眼	עיניים
眼	עין
秋	סתיו
雨	גשם
思想	מחשבה
思想	מחשבות
南方	דרומי
南方	דרום
燕	בולע
燕	יאן
改善	משתפרת
改善	שיפור
改善	השתפר
改善	לשפר
排	מחלקה
排	שורה
层	שכבות
层	שכבה
主题	נושאים
主题	הנושא
主题	נושא
批准	אישורי
批准	לאשר
批准	מאושר
瑞士	שוויץ
酒店	מלון
酒店	מלונות
任务	משימה
任务	משימות
背景	רקע
葡萄牙	פורטוגזית
葡萄牙	פורטוגל
行为	התנהגות
行为	התנהגויות
坦克	טנק
坦克	מיכלי
灰	אפורה
灰	אש
灰	אפר
工具	כלי
工具	כלים
退	לסגת
品牌	המותגים
品牌	מיתוג
品牌	מותג
自动	אוטומטי
自动	אוטומטית
自动	אוטומטיים
军队	צבא
荷兰	הולנד
远	רחוק
结构	מבנים
结构	ארכיטקטורה
结构	מבנה
结构	מבנית
大陆	קונטיננטל
大陆	ביבשת
大陆	יבשת
大陆	היבשות
可可	קוקו
可可	קקאו
墨西哥	מקסיקו
乐团	הלהקה
乐团	תזמורת
材料	חומר
材料	חומרי
魔法	קסם
大阪	אוסקה
茶	תה
王子	נסיך
夜	לילות
夜	לילה
锦标赛	אליפויות
锦标赛	הטורניר
锦标赛	טורנירים
锦标赛	אליפות
紫	סגול
紫	ויולט
德里	דלהי
森林	יער
森林	יערות
白色	לבן
袁	יואן
树	עץ
树	עצים
轮	גלגל
轮	גלגלים
轮	עגולה
鹿	צבי
地理	גיאוגרפי
地理	גאוגרפיה
姜	קאנג
姜	זנגביל
咸	מלוח
柏林	ברלין
今天	היום
加州	קליפורניה
墓	קבר
活跃	פעיל
野	פראי
类型	סוגה
类型	סוג
类型	הסוגים
机会	הזדמנות
机会	הזדמנויות
错误	טעות
错误	טועה
错误	שגיאות
错误	שגיאה
身高	גובה
轻	אור
轻	מצית
满	מלא
粤语	קנטונזית
亨利	הנרי
喜欢	כמו
警方	משטרה
能量	אנרגיה
太平	טאיפינג
南极洲	אנטארקטיקה
南极洲	האנטארקטי
小型	קטן
以色列	ישראל
逐渐	הדרגתי
逐渐	בהדרגה
对话	שיחה
对话	דיאלוג
对话	הדיאלוגים
对话	שיחות
事故	תאונה
事故	תאונות
天使	מלאכיות
天使	מלאך
表面	משטח
风暴	סערות
风暴	סערה
定义	הגדרה
定义	תגדיר
定义	מגדיר
熊	דובים
熊	דוב
骑士	אביר
骑士	אבירים
象	פילים
象	פיל
明星	כוכב
明星	כוכבים
你的	שלך
匈牙利	הונגריה
匈牙利	הונגרית
京都	קיוטו
冯	פנג
使用者	משתמש
使用者	משתמשים
邓	דנג
争议	במחלוקת
争议	מחלוקת
争议	מחלוקות
转换	המרה
转换	ממיר
血	דם
轨道	רצועה
轨道	מסלולית
轨道	רצועות
轨道	מסלול
今日	היום
部门	מחלקה
部门	גזרה
沿	לאורך
比例	יחס
比例	פרופורציות
比例	פרופורציה
比例	פרופורציונלי
父母	הורים
父母	הורה
钟	שעון
飞行	עפה
飞行	טיסה
设施	מתקנים
设施	התקנות
设施	מתקן
住宅	מגורים
伊朗	איראן
伊朗	האיראני
混合	כלאיים
混合	לערבב
混合	מעורב
混合	תערובת
混合	ערבוב
莫斯科	מוסקבה
深度	עומק
合成	מורכבים
合成	סינתזה
四十	ארבעים
基因	גן
基因	גנים
意大利	איטליה
意大利	איטלקית
很快	בקרוב
厚	עבה
部落	שבט
部落	שבטים
帮助	עזרה
教会	כנסיות
教会	כנסיה
记者	כתבים
记者	עיתונאית
记者	כתב
刀	חרב
刀	סכין
太子	נסיך
狗	כלב
狗	כלבים
病毒	נגיף
病毒	וירוסים
阿根廷	ארגנטינה
汤	מרק
舰队	צי
钱	כסף
食用	אכיל
质量	מיסה
质量	איכות
化石	מאובנים
化石	מאובן
波兰	פולין
美洲	אמריקה
部长	שר
挑战	אתגרים
挑战	אתגר
挑战	מאתגרת
羽毛球	בדמינטון
几乎	כמעט
阿拉	אללה
玲	לינג
司令	מפקד
原子	אטומים
原子	אטומי
原子	אטום
菲律宾	הפיליפינים
猫	חתולים
猫	חתול
浪	גלי
浪	גל
集合	לאסוף
方言	ניב
方言	ניבים
犯罪	פשעים
犯罪	פשע
公爵	דוכס
软件	תוכנה
硬	קשה
女王	מלכה
食物	מזון
厂	צמח
厂	מפעל
羽	נוצה
图书馆	ספריות
图书馆	ספריה
通用	כללי
通用	שכיח
瓜	מלון
课程	קורס
课程	הקורסים
本地	מקומי
本地	מקומיים
步枪	רובים
步枪	רובה
棋	שחמט
久	ארוך
通道	ערוץ
通道	מעבר
墨	דיו
疾病	מחלה
疾病	מחלות
心理	פסיכולוגית
心理	פסיכולוגיה
心理	נפשי
气旋	ציקלון
气旋	ציקלונים
马来西亚	מלזיה
四月	אפריל
蛋白	חלבון
蛋白	חלבונים
苏格兰	סקוטלנד
下降	לסרב
下降	ירידה
名单	רשימה
名单	רשימות
戏剧	דרמה
戏剧	תיאטרון
牙	שיניים
牙	שן
可靠	אמין
芝加哥	שיקגו
女人	אשה
华人	סינית
资源	משאב
资源	משאבים
重量	משקולות
重量	משקל
五十	חמישים
合约	חוזים
合约	חוזה
莲	לוטוס
莲	ליאן
城堡	טירה
泰国	תאילנד
吻	נשיקות
吻	נשיקה
庙	מקדש
脚	רגל
脚	פוט
商品	המוצר
商品	סחורה
商品	סחורות
商品	מוצרים
泥	בוץ
泥	חימר
拳	אגרוף
奥林匹克	אולימפי
卫星	לווינים
卫星	לוויין
卫星	ירחים
桃	אפרסק
农业	חקלאי
农业	חקלאות
犬	כלב
犬	כלבים
编剧	תסריט
编剧	כותב
编剧	תסריטאי
粒子	חלקיקים
粒子	חלקיק
婚姻	חתונה
婚姻	נישואים
爱尔兰	אירי
爱尔兰	אירלנד
冰川	קרחון
冰川	קרחונים
鼓	תוף
鼓	תופים
装甲	שריון
装甲	משוריין
拉丁	לטינית
重要性	חשיבות
黄金	זהב
商人	סוחר
商人	סוחרים
动作	פעולה
动作	תנועות
能源	אנרגיה
人们	אנשים
观测	התבוננות
观测	תצפית
知识	ידע
颜色	צבע
颜色	צבעים
碳	פחמן
物质	חומר
家人	משפחה
幻想	פנטזיה
幻想	האשליה
幻想	אשליה
幻想	פנטזיות
火星	מאדים
玻璃	זכוכית
学术	אקדמי
三角	טריאנגולציה
三角	המשולש
三角	משולש
港口	נמל
港口	נמלים
气	גז
共和	רפובליקני
共和	רפובליקה
作曲家	מלחינים
作曲家	מלחין
教宗	אפיפיור
地址	כתובות
地址	כתובת
身分	זהות
慕尼黑	מינכן
安娜	אנה
收集	איסוף
收集	האוסף
收集	לאסוף
收集	אסף
八月	אוגוסט
八月	אוג
防止	למנוע
吸收	סופגים
吸收	ספיגה
吸收	נספג
吸收	לספוג
奥地利	אוסטריה
龟	צב
结	קשר
二月	בפברואר
二月	פברואר
医生	דוקטור
阿里	עלי
亲王	נסיך
相对	יחסי
相对	יחסית
氧化	חמצון
氧化	תחמוצת
腹	בטן
通讯	תקשורת
通讯	עלון
司马	סימה
顾问	יועץ
顾问	יועצים
细胞	תא
细胞	תאים
站台	פלטפורמה
中间	אמצע
中间	ביניים
文献	ספרות
蜥	לטאה
多数	רובם
多数	רוב
百万	מיליון
百万	מליונים
测量	מדידת
测量	מדידה
测量	מדידות
测量	סוקרים
吨	טון
九月	ספטמבר
波音	בואינג
教学	הוראה
六月	יוני
工厂	צמח
工厂	מפעלים
工厂	מפעל
书院	מכללה
澳大利亚	אוסטרליה
软	רך
迈	מאי
电话	הטלפון
电话	להתקשר
电话	טלפון
苹果	תפוח
苹果	תפוחים
巴基斯坦	פקיסטן
肉	בשר
抵达	הגעה
抵达	הגיעה
任天堂	נינטנדו
丹麦	דנמרק
丹麦	דנית
毒	ארס
毒	רעל
哥伦比亚	קולומביה
弱	חולשה
弱	חלש
当局	רשויות
合唱	מקהלה
合唱	מקהלתית
强调	מתח
强调	להדגיש
数学	מתמטית
数学	מתמטיקה
专家	מומחה
专家	מומחים
摄影	קולנוע
摄影	צילום
电力	חשמל
电力	כוח
起源	מקור
起源	בראשית
起源	המקורות
铃木	סוזוקי
体重	משקל
已知	ידוע
磅	לירה
磅	קילו
钢	פלדה
篮球	כדורסל
华盛顿	וושינגטון
内阁	ארון
压力	לחץ
压力	מתח
校园	קמפוס
校园	קמפוסים
密度	עוצמה
密度	צפיפות
巴赫	באך
亚历山大	אלכסנדריה
亚历山大	אלכסנדר
维多利亚	ויקטוריה
英尺	רגל
英尺	פוט
鼻	אף
单元	מודולים
单元	מודול
单元	יחידות
单元	יחידה
尊重	כבוד
温度	טמפרטורה
温度	טמפרטורות
琉球	ריוקיו
琉球	אוקינאווה
阿富汗	אפגניסטן
颁奖	פרסים
援助	סיוע
每周	שבועי
色彩	צבע
色彩	צבעים
公告	הכרזה
岩石	אבנים
岩石	רוק
豹	פאו
豹	נמר
豹	פנתר
慈善	צדקה
慈善	פילנתרופיה
网球	טניס
古巴	קובה
哲学	פילוסופיה
方程	משוואה
方程	משוואות
味	טעם
合法	לגיטימי
裴	באי
裴	פיי
吉他	גיטרה
吉他	גיטרות
浅	רדוד
矛盾	סתירה
矛盾	פרדוקס
矛盾	סתירות
矛盾	הסתירה
方程式	הנוסחה
方程式	משוואה
方程式	משוואות
膜	קרום
链	שרשראות
链	שרשרת
迷你	מיני
迷你	מיניאטורי
十一月	נובמבר
十一月	נוב
责任	אחריות
彗星	שביט
箭	חצים
箭	חץ
受欢迎	פופולרי
盐	מלח
向量	וקטור
向量	וקטורים
穆罕默德	מוחמד
防御	הגנה
防御	הגנתי
狮	אריה
各国	מדינות
效率	יעילות
函数	פונקציה
佐藤	סאטו
芬兰	פינלנד
女演员	שחקניות
女演员	שחקנית
蛋	ביצים
蛋	ביצה
鳄	תנין
口径	קליבר
裁判	שופט
星期	שבוע
星期	שבועות
斯洛伐克	סלובקיה
剧本	תסריט
剧本	התסריט
发动机	מנוע
发动机	מנועים
完美	מושלם
完美	שלמות
氧	חמצן
立陶宛	ליטא
座位	ישיבה
座位	מושבי
座位	מושב
合同	חוזים
合同	חוזה
喜剧	קומדיה
楠	נאן
垂直	אנכי
技能	מיומנויות
技能	מיומנות
雅典	אתונה
梨	אגס
梨	אגסים
狐	שועל
自杀	התאבדות
利物浦	ליברפול
比利时	בלגיה
钟	פעמון
读者	קוראים
读者	קורא
有名	מפורסם
指数	מדד
指数	מעריכי
指数	המדדים
猴	קוף
绝对	לגמרי
绝对	מוחלט
咖啡	קפה
眼睛	עיניים
眼睛	עין
否则	אחרת
窗	windows
窗	חלון
探索	לחקור
探索	חקר
探索	גלו
探索	דיסקברי
晚间	ערב
月份	חודשים
月份	חודש
轴	שאפט
轴	גרזנים
轴	ציר
铜	נחושת
铜	ארד
部署	פריסות
部署	לפרוס
部署	פריסה
王后	מלכה
南斯拉夫	יוגוסלביה
符号	סמלים
符号	סמל
缅甸	בורמה
缅甸	מיאנמר
昆明	קונמינג
灯	לייטס
灯	מנורה
乳	חלב
周刊	שבועי
种子	גרעינים
种子	זרע
德州	טקסס
威尼斯	ונציה
鼓励	לעודד
鼓励	מעודדת
鼓励	עידוד
氪	קריפטון
柬埔寨	קמבודיה
希特勒	היטלר
处理器	מעבד
处理器	מעבדים
帮忙	עזרה
竞赛	תחרויות
竞赛	מרוץ
竞赛	תחרות
超人	סופרמן
股票	מניות
股票	סטוק
八十	שמונים
玛丽	מרי
机车	הקטנוע
机车	אופנוע
机车	קטר
技巧	טריקים
技巧	מיומנות
技巧	טכניקה
外国	זר
瓦尔	ואל
帽	קאפ
帽	כובע
帽	כובעי
公寓	דירה
公寓	דירות
汉语	סינית
狮子	אריה
狮子	אריות
修道院	מנזר
黄色	צהוב
傀儡	בובות
傀儡	בובה
直径	קוטר
拱	קשת
多伦多	טורונטו
沙漠	מדבר
沙漠	מדבריות
腿	רגלי
腿	רגל
横滨	יוקוהמה
炸弹	פצצה
炸弹	פצצות
法令	גזירות
法令	צו
鳗	צלופח
保险	ביטוח
煤	פחם
一旦	פעם
亲自	אישית
周期	מחזורי
周期	מחזור
一代	דור
一代	דורות
论坛	בפורומים
论坛	פורום
广岛	הירושימה
三星	סמסונג
个性	האינדיבידואליות
个性	אישיות
包围	מצור
包围	להקיף
平行	מקביל
型态	סוג
摇滚	נדנדה
摇滚	רוק
织田	אודה
品质	איכות
液	נוזל
液	נוזלי
诗人	משורר
罗伯特	רוברט
梦想	חלום
梦想	חלומות
写作	תכתבי
写作	כתיבה
世代	דור
世代	דורות
发音	מבוטא
发音	הגיית
发音	לבטא
王位	כס
机制	מנגנוני
机制	מנגנון
尤其	במיוחד
降落	נחיתה
巢	קן
性别	מין
夏威夷	הוואי
夏威夷	מהוואי
边界	גבולות
边界	גבול
猪	חזירים
猪	חזיר
货币	מטבע
微软	מיקרוסופט
舌	לשון
真相	האמת
韩语	קוריאנית
礁	שונית
飓风	הוריקן
曼谷	בנגקוק
加利福尼亚	קליפורניה
艇	סירות
艇	סירה
海峡	מצר
海峡	ערוץ
保育	שימור
孔子	קונפוציוס
鹏	פנג
要塞	מעוז
要塞	מבצר
因子	גורם
实验室	מעבדה
实验室	מעבדות
水晶	גביש
水晶	גבישים
秘鲁	פרו
血液	דם
马德里	מדריד
经济学	כלכלה
购物	חנות
购物	קניות
气体	גז
气体	גזים
喇嘛	לאמה
累积	לצבור
累积	המצטבר
累积	מצטבר
累积	הצטברות
钢琴	פסנתר
边境	גבולות
边境	גבול
猎	האנט
猎	ציד
俄国	רוסיה
泰山	טרזן
玩具	צעצוע
玩具	צעצועי
盆地	אגן
消除	חיסול
消除	לחסל
画家	ציירים
画家	צייר
天文学家	אסטרונומים
天文学家	אסטרונום
硫	גופרית
框架	מסגרות
框架	מסגרת
框架	המסגרת
枪管	חבית
突击	תקיפה
中等	בינוני
中等	מתון
保加利亚	בולגריה
罗马尼亚	רומניה
狙击	לצלוף
狙击	צלף
灭绝	נכחדו
灭绝	הכחדה
灭绝	השמדה
确保	להבטיח
九十	תשעים
癌	קשקש
癌	סרטן
饮食	המטבח
饮食	אכילה
饮食	דיאטה
社会主义	הסוציאליסטית
社会主义	סוציאליזם
女友	חברה
奶	חלב
季节	עונתי
季节	עונה
季节	עונות
生态	אקולוגית
生态	אקולוגיה
资深	בכיר
床	מיטה
驱逐舰	משחתות
驱逐舰	משחתת
散文	פרוזה
秘书	מזכיר
捐	תרומה
捐	לתרום
指挥官	מפקד
类别	קטגוריה
类别	שיעורים
类别	רמה
类别	קטגוריות
可惜	רחמים
假期	חופשות
假期	חג
假期	נופש
加藤	קאטו
黎巴嫩	לבנון
比率	יחס
武力	כוח
器官	איברים
器官	איבר
山谷	עמק
山谷	העמקים
牛津	אוקספורד
协定	הסכם
协定	הסכמים
规格	מפרט
波士顿	בוסטון
参数	פרמטר
参数	ויכוחים
耶路撒冷	ירושלים
广西	גואנגשי
例外	חריגות
例外	חריגה
布拉格	פראג
公平	הוגן
公平	ההגינות
老板	בוס
工程师	מהנדסים
工程师	מהנדס
祖母	סבתא
春天	אביב
神户	קובי
癌症	סרטן
氮	חנקן
图书	ספרים
图书	ספר
键	המפתחות
键	מפתח
键	בונד
可汗	חאן
氯	כלור
雅各布	יעקב
小提琴	כינור
假日	חג
假日	חופשות
雕像	פסלים
雕像	פסל
叙利亚	סוריה
叙利亚	סורי
收回	לסגת
西贡	סייגון
雾	ערפל
免疫	חסין
免疫	חסינות
啤酒	בירה
上诉	ערעור
富有	עשיר
富有	אמיד
火炮	ארטילריה
魔女	מכשפה
扩张	מתרחב
扩张	להתרחב
扩张	הרחבה
甲基	מתיל
脑	מוח
白金	פלטינה
拆卸	פירוק
创新	חדשנית
创新	חידושים
创新	חדשנות
录音	הקלטה
吉田	יושידה
税	מס
税	מסים
童年	ילדות
百科全书	אנציקלופדיה
总是	תמיד
钻石	יהלום
三菱	מיצובישי
温哥华	ונקובר
窝	קן
混乱	בלבול
混乱	כאוס
大堂	לובי
校区	קמפוס
光学	אופטית
光学	אופטיקה
氟	פלואוריד
氟	פלואור
服务器	שרתים
服务器	שרת
清晰	בהירות
胶	דבק
胶	מסטיקים
怪物	מפלצת
色情	פורנוגרפיה
色情	ארוטי
色情	פורנוגרפי
曝光	לחשוף
曝光	חשופה
曝光	חשיפת
曝光	חשיפה
土壤	אדמה
再生	התחדשות
涛	טאו
排序	מיון
新秀	טירון
尾巴	זנב
妖怪	מפלצת
扣	אבזם
喙	מקור
诺贝尔	נובל
勇者	אמיץ
蛙	צפרדע
重型	כבד
肩	כתף
肩	כתפיים
臂	זרוע
武田	טקדה
三角形	המשולש
三角形	משולש
三角形	משולשים
野生	פראי
大理	דאלי
用品	אספקה
混凝土	בטון
碘	יוד
铃	פעמון
秋季	סתיו
秋季	נפילה
同事	עמיתה
同事	עמית
同事	עמיתים
外交官	דיפלומט
外交官	דיפלומטים
安置	מיקום
象棋	שחמט
钢铁	פלדה
钢铁	איירון
火焰	אש
火焰	להבה
云南	יונאן
魁北克	קוויבק
春季	אביב
夫妇	זוגי
夫妇	זוג
亚美尼亚	ארמניה
科尔	קול
卓越	מצוינות
屏幕	מסך
真菌	פטרייה
真菌	פטרייתי
真菌	פטריות
号码	מספר
俄亥俄州	אוהיו
羽毛	נוצה
羽毛	נוצות
概率	הסתברויות
概率	הסתברות
绘画	צביעה
绘画	ציור
绘画	ציורים
潜艇	צוללת
贝克	אופה
弹药	תחמושת
颂	אודה
星星	כוכב
星星	כוכבים
合金	סגסוגת
矮	קצר
矮	גמד
撤回	נסוגה
撤回	לסגת
撤回	גמילה
界面	ממשק
界面	ממשקים
炮兵	ארטילריה
痛	כאב
配乐	פסקול
中型	בינוני
拘捕	מעצר
拘捕	מעצרים
房间	חדר
房间	חדרים
运算	מבצע
运算	מחשוב
瘤	גידול
拉丁文	לטינית
坝	סכר
灌木	שיח
离子	יון
离子	יונים
榴弹	רימון
榴弹	רימונים
土星	שבתאי
线路	קו
护照	דרכונים
护照	דרכון
底特律	דטרויט
路径	נתיב
路径	הנתיבים
路径	נתיבים
宫崎	מיאזאקי
变形	מעוות
变形	דפורמציה
欢乐	שמחה
笛	חליל
电机	מנוע
昆虫	חרקים
昆虫	חרק
卡洛斯	קרלוס
男友	החבר
陕西	שאאנשי
水泥	בטון
水泥	מלט
平壤	פיונגיאנג
同位素	איזוטופים
同位素	איזוטופ
教皇	אפיפיור
始终	תמיד
怒	כעס
怒	זעמו
怒	זעם
缺陷	פגם
缺陷	חסרונות
缺陷	פגמים
流星	מטאור
对称	סימטרי
对称	סימטריה
委内瑞拉	ונצואלה
据点	מעוז
奈良	נארה
扩建	הרחבה
司机	נהג
叛乱	מרד
梅尔	מל
巴林	בחריין
动态	להאכיל
动态	סיפור
动态	דינמי
动态	סיפורים
动态	פעילות
动态	דיינמיקס
晋升	קידום
流感	שפעת
费城	פילדלפיה
人格	אישיות
绰号	כינוי
绰号	כינויים
幽默	הומור
翻新	משופץ
翻新	שיפוץ
维也纳	וינה
元帅	מרשל
摩洛哥	מרוקו
蹄	פרסה
地表	משטח
景点	אטרקציות
景点	כוונת
景点	משיכה
鲨	כריש
腹部	בטן
肯尼迪	קנדי
模糊	פאזי
模糊	מטושטשת
模糊	מעורפל
模糊	טשטוש
猿	קופים
猿	קוף
级别	רמה
瑶	יאו
明天	מחר
先锋	חלוץ
先锋	החלוץ
先锋	חלוצים
动词	פועל
动词	פעלים
复仇	נקמה
茄	חציל
厦门	שיאמן
暴露	חשופה
暴露	חשיפה
矛	חנית
搞笑	מצחיק
村落	כפר
发言人	דובר
葡萄酒	יין
半径	רדיוס
六个	שש
肝	כבד
传记	ביוגרפיות
传记	ביוגרפיה
安迪	אנדי
氢	מימן
数百	מאות
丰田	טויוטה
名誉	מוניטין
光子	פוטון
磷	זרחן
霜	כפור
霜	קרם
海豚	דולפין
海豚	דולפינים
紫色	סגול
特快	אקספרס
千克	קילוגרמים
千克	קילוגרם
千克	קילו
密码	קוד
密码	סיסמה
密码	הסיסמאות
帽子	כובעים
帽子	כובע
歌剧	אופרה
歌剧	אופרות
里斯本	ליסבון
资本	הון
魔鬼	שטן
奖励	פרסים
奖励	בונוס
奖励	תמריצים
奖励	פרס
合唱团	מקהלה
物流	לוגיסטיקה
河内	האנוי
婚礼	חתונות
婚礼	חתונה
接待	קבלה
公理	אקסיומה
公理	אקסיומטי
明日	מחר
合格	מוסמך
句子	משפטים
句子	משפט
议长	רמקול
巴拉圭	פרגוואי
超新星	סופרנובה
大洋洲	ofc
大洋洲	אוקיאניה
针	מחטים
针	מחט
或许	אולי
煤炭	פחם
索引	מדד
木材	עץ
木材	קרשים
放射性	הקרנות
放射性	רדיואקטיביות
放射性	רדיואקטיבית
魔术	טריק
魔术	קסם
电压	מתח
相机	מצלמה
相机	מצלמות
巧克力	שוקולד
体操	התעמלות
营销	שיווק
外籍	זר
海地	האיטי
镑	לירה
孤立	בידוד
孤立	לבודד
孤立	מבודד
肖像	דיוקן
肖像	דיוקנאות
堪萨斯州	קנזס
旅程	מסע
相互作用	אינטראקציה
相互作用	אינטראקציות
勇敢	אמיץ
接力	ממסר
金钱	כסף
海德堡	היידלברג
亮度	הקלות
亮度	בהירות
会计	חשבונאות
袜	גרביים
灌溉	השקיה
节奏	קצב
多媒体	מולטימדיה
秋田	אקיטה
奖牌	מדליית
奖牌	מדליות
新娘	כלה
出版物	פרסומים
出版物	פרסום
安哥拉	אנגולה
和解	פיוס
泪	דמעה
泪	הדמעות
钓鱼	דיג
