اسم	pangalan
تلفزيون	telebisyon
ثاني	pangalawa
الرومانية	romanian
الرومانية	roman
شارع	kalye
العراقي	iraqi
صوت	tunog
صوت	boses
صوت	audio
ويب	webb
ويب	web
المستوى	antas
سورية	syria
سورية	syrian
عباس	abbas
المثال	halimbawa
الصحة	kalusugan
سويسرا	switzerland
مدريد	madrid
متحف	museo
حل	lutasin
حل	solusyon
روما	rome
روما	roma
الاقتصاد	economics
الاقتصاد	ekonomiya
البرازيل	brazil
البرازيل	brazilian
الصوت	tunog
الصوت	boses
الصوت	audio
العين	mata
التدريب	pagsasanay
التراث	legacy
التراث	pamana
هدف	layunin
هدف	target
فيصل	faisal
وجه	mukha
البشرية	sangkatauhan
بلد	bansa
طاقة	enerhiya
طاقة	power
حماية	proteksyon
جغرافيا	heograpiya
رمضان	ramadan
خدمة	serbisyo
حرارة	init
سرعة	bilis
يحيى	yahya
ستة	anim
ضغط	presyon
مياه	tubig
ميشيغان	michigan
سينما	sinehan
سلطان	sultan
جيمس	james
معرفة	kakilala
معرفة	kaalaman
ويمبلدون	wimbledon
الزراعة	pagsasaka
الزراعة	agrikultura
البرتغال	portugal
السوري	syrian
لوس	los
لوس	luce
التربية	breeding
التربية	edukasyon
تحليل	analyze
تحليل	pagsusuri
قطاع	sektor
بحيرة	lawa
خان	khan
واشنطن	washington
اقتصاد	economics
اقتصاد	ekonomiya
الناتج	output
بحر	dagat
عبدالله	abdullah
عيسى	issa
حساب	account
حساب	kalkulahin
حساب	kinakalkula
حساب	pagkalkula
الفيديو	video
تل	tal
تل	tel
تل	burol
سلة	basket
المعرفة	kaalaman
غزة	gaza
الكون	sansinukob
الكون	cosmos
الطبيعة	kalikasan
حملة	kampanya
اليابانية	hapon
سيتي	lungsod
سيتي	seti
مبنى	gusali
الديمقراطية	demokrasya
النفط	langis
النفط	petroleum
دبي	dubai
اكتشاف	tuklasin
اكتشاف	pagtuklas
نجم	bituin
النص	text
النص	script
يصبح	nagiging
يصبح	maging
الكاثوليكية	katoliko
الكاثوليكية	katolisismo
ويسكونسن	wisconsin
الدائرة	bilog
الدائرة	circuit
مثال	halimbawa
الجزائرية	algerian
الموت	kamatayan
القيادة	pamumuno
القيادة	command
روبرت	robert
الطعام	pagkain
الدكتوراه	doctorate
الدكتوراه	phd
السويد	sweden
كولومبيا	columbia
كولومبيا	colombian
كولومبيا	colombia
جورجيا	georgia
قياس	sukatin
قياس	pagsukat
محتوى	nilalaman
المقاومة	paglaban
دراما	drama
مساعدة	tulong
التقنية	teknikal
التقنية	tech
التقنية	pamamaraan
التقنية	teknolohiya
ديفيد	david
التصويت	boto
التصويت	pagboto
تعليم	pagtuturo
تعليم	edukasyon
برشلونة	barcelona
الديمقراطي	democratic
الديمقراطي	demokratiko
المنتج	produkto
المنتج	producer
ليلة	gabi
التصميم	layout
التصميم	styling
التصميم	disenyo
حجة	argumento
المهمة	gawain
المهمة	misyon
شيخ	sheikh
دكتور	doktor
مسلم	muslim
مؤسس	tagapagtatag
تصبح	maging
القيمة	halaga
مايكل	michael
البابا	papa
سيرة	talambuhay
نص	text
نص	script
كيلو	kilo
المتحف	museo
مقاومة	paglaban
شاعر	makata
رؤية	pangitain
حديقة	liwasan
حديقة	hardin
ميناء	daungan
الحرية	kalayaan
سم	lason
موسكو	moscow
النصر	tagumpay
النصف	kalahati
المغربي	moroccan
ماريا	maria
رومانيا	romanian
رومانيا	romania
النمسا	austria
كانون	cannon
كانون	canon
موسيقية	musikero
موسيقية	musikal
النهضة	renaissance
فلوريدا	florida
ملاحظة	tala
ملاحظة	observation
جسم	katawan
جسم	bagay
اليهودية	jewish
اليهودية	hudaismo
الرياضيات	matematika
الرياضيات	math
بلجيكا	belgium
بلجيكا	belgian
اللاتينية	latin
العودة	bumalik
العودة	likod
تقويم	kalendaryo
مقدمة	pagpapakilala
مقدمة	intro
الحمل	pagbubuntis
الحمل	lamb
رئيسية	pangunahing
التمثيل	representasyon
التمثيل	acting
التمثيل	act
الفلسفة	pilosopiya
برلين	berlin
الياباني	hapon
القالب	amag
القالب	template
ساحل	baybayin
احمد	ahmed
احمد	ahmad
الجمعة	biyernes
الشريعة	sharia
الشريعة	shariah
القطاع	sektor
صباح	sabah
صباح	umaga
الخارجي	panlabas
الفعل	pandiwa
الفعل	act
مقال	sanaysay
مقال	artikulo
خليل	bf
خليل	khalil
طرابلس	tripoli
بولندا	poland
باكستان	pakistan
المساعدة	tulong
بنية	brown
بنية	istraktura
صحة	kalusugan
صحة	validity
دينية	relihiyoso
طبيعة	kalikasan
لواء	brigada
لواء	pangkalahatan
زوجة	asawa
الحجر	bato
عودة	comeback
عودة	bumalik
عودة	likod
عدن	aden
عدن	eden
ضعف	kahinaan
ضعف	dobleng
برمجيات	software
ماء	tubig
سرطان	kanser
ريتشارد	richard
مسيحية	christian
مسيحية	kristiyanismo
طبيب	doktor
فلسفة	pilosopiya
تشارلز	charles
الجيل	henerasyon
البحوث	pananaliksik
فنلندا	finland
بيئة	kapaligiran
الذهب	ginto
كيمياء	kimika
ميدالية	medalya
التعبير	pagpapahayag
الهلال	crescent
الحماية	proteksyon
كوكب	planeta
عبدالعزيز	abdulaziz
حرية	kalayaan
السطح	ibabaw
السطح	bubong
جدة	lola
جدة	jeddah
النشر	publikasyon
النشر	ilathala
النشر	pagpapalaganap
النشر	post
النشر	paglalathala
سلمان	salman
زراعة	planting
زراعة	pagsasaka
زراعة	agrikultura
زراعة	transplant
نجاح	tagumpay
جاك	jack
ظاهرة	phenomena
ظاهرة	kababalaghan
لاحقا	mamaya
طوكيو	tokyo
العقل	isip
ميدان	patlang
ميدان	parisukat
الوجه	mukha
بيان	manifesto
بيان	pahayag
كاليه	calais
الخلية	cell
ميلان	milan
الشمسية	solar
الجزائري	algerian
العنف	karahasan
التدريس	pagtuturo
مارتن	martin
كارل	carl
خطر	mapanganib
خطر	panganib
فاطمة	fatima
المخرج	direktor
المخرج	umalis
كوبا	cuba
السرعة	bilis
سلامة	kaligtasan
داكوتا	dakota
ويليام	william
الجودة	kalidad
الشتاء	taglamig
التقويم	kalendaryo
سامي	sami
سامي	sammy
القاضي	hukom
الشعار	logo
الشعار	sagisag
بنك	bangko
الهندي	indian
نمط	pattern
نمط	mode
قصيدة	tula
قصيدة	oda
ثلاثية	trilogy
ثلاثية	triple
الغذاء	pagkain
النطاق	scope
النطاق	domain
النطاق	saklaw
النرويج	norwegian
النرويج	norway
البريد	mail
معبد	templo
السن	edad
السن	ngipin
انضم	sumali
اللبناني	lebanese
جودة	kalidad
الارتفاع	altitude
الارتفاع	taas
بوب	bob
بوب	papa
جوجل	google
العدو	kaaway
جندي	sundalo
موت	kamatayan
الكبد	atay
الشرف	karangalan
داود	david
سعودي	saudi
مسار	track
مسار	landas
المحتوى	nilalaman
غاز	gas
التحليل	pagsusuri
الديني	relihiyoso
الدنمارك	denmark
النجاح	tagumpay
مانشستر	manchester
داخلية	panloob
داخلية	natatagong
مينيسوتا	minnesota
صحفي	mamamahayag
جيل	henerasyon
جيل	jill
الخلفية	background
شيكاغو	chicago
موقف	posisyon
موقف	ugali
الجغرافية	heograpiya
الشيوعي	komunista
سجن	kulungan
سجن	bilangguan
الزوج	asawa
العدل	katarungan
الهيدروجين	hydrogen
فيروس	virus
زهرة	bulaklak
سوري	syrian
سوري	suri
شرقي	silangan
شرقي	oriental
شرقي	silangang
ويلز	wales
ويلز	wells
كارلوس	carlos
الفئة	kategorya
الفئة	klase
السوبر	super
ياباني	hapon
السوفيتية	sobyet
سيطرة	kontrol
هيكل	hull
هيكل	istraktura
المجر	hungary
البرمجيات	software
اختلاف	pagkakaiba
الفارسية	farsi
الفارسية	persian
رياضيات	matematika
رياضيات	math
حسني	hosni
كويكب	asteroid
تكنولوجيا	teknolohiya
الانتشار	paglaganap
الانتشار	paglawak
مالية	pinansyal
مالية	pananalapi
الوعي	kamalayan
المناخ	klima
شاه	shah
خيال	imahinasyon
خيال	pantasya
خيال	fiction
وليام	william
تشيلي	chilean
تشيلي	chile
هزيمة	pagkatalo
وثيقة	dokumento
هونغ	hung
هونغ	hong
مايكروسوفت	microsoft
العدالة	katarungan
ضرورة	pangangailangan
كنتاكي	kentucky
الغزو	pagsalakay
الغزو	conquest
الصيد	pangingisda
الصيد	pangangaso
تموز	hulyo
كردستان	kurdistan
الرباط	rabat
النسيج	tela
النسيج	yari
جريمة	krimen
كارولاينا	carolina
الجريمة	krimen
شكرا	salamat
عراقي	iraqi
عراقي	iraqis
مطبخ	ulam
مطبخ	kusina
مسقط	hometown
مسقط	muscat
حميد	hamid
ديل	dell
سميث	smith
يابانيون	hapon
التكنولوجيا	teknolohiya
غينيا	guinea
مصنع	pabrika
مصنع	tagagawa
واجهة	interface
واجهة	harapan
التمييز	diskriminasyon
التمييز	pinagkaiba
غزو	pagsalakay
غزو	conquest
المعدنية	mineral
ريو	rio
ريو	ryu
هاري	harry
الويب	web
حقل	patlang
الحج	pilgrimage
الحج	hajj
اسكتلندا	scotland
متوسطة	katamtaman
ضابط	opisyal
جملة	bulk
جملة	parirala
جملة	pangungusap
الممثلة	aktres
المخابرات	katalinuhan
كرواتيا	croatia
جيم	jim
لبناني	lebanese
نبراسكا	nebraska
كهربائية	electrical
كهربائية	electric
بيتا	beta
امتداد	extension
طائر	ibon
الغرض	layunin
الوصف	paglalarawan
ماساتشوستس	massachusetts
ماليزيا	malaysia
ماليزيا	malaysian
تمثال	iskultura
تمثال	rebulto
سانتا	santa
تحالف	alyansa
تحالف	samahan
الخشب	kahoy
الخشب	troso
دوق	duke
الخ	atbp
رياض	riyadh
بوينغ	boeing
محدودة	limitado
مغربي	moroccan
البوسنة	bosnia
هارفارد	harvard
كانساس	kansas
ديزني	disney
فيينا	vienna
السبت	sabado
سيناء	sinai
قبرص	cyprus
هتلر	hitler
تدفق	daloy
خوسيه	jose
النسبة	proporsyon
النسبة	ratio
بطاقة	card
اهتمام	atensyon
اهتمام	interes
روك	bato
مروان	marwan
مركبة	pinaghalo
مركبة	sasakyan
الصيغة	formula
محور	ikutan
محور	hub
محور	axis
كولورادو	colorado
الصومال	somalia
جونز	jones
الخميس	huwebes
فرانسيسكو	francisco
الرابط	link
الرؤية	pangitain
الرؤية	nakikita
الجهاد	jihad
مهدي	mahdi
فيرجينيا	virginia
نابليون	napoleon
زيت	langis
تسعة	siyam
زوج	asawa
النحاس	tanso
التغذية	nutrisyon
المعارف	kakilala
المعارف	kaalaman
نينتندو	nintendo
شارل	charles
المعدة	tiyan
سوبر	super
معادلة	equation
البرمجة	programming
لسان	dila
لسان	tab
لبنانية	lebanese
الرئة	baga
قارة	kontinente
البروتين	protina
نواة	kernel
نواة	nucleus
صاروخ	rocket
صاروخ	missile
الجليل	galilea
ميونخ	munich
حادث	insidente
حادث	aksidente
التنفس	paghinga
سعر	presyo
عراقية	iraqi
كوكبة	konstelasyon
لحم	karne
البيان	manifesto
البيان	pahayag
غريب	kakaiba
توم	tom
فرانك	frank
جمعة	biyernes
الصلة	kaugnayan
ياسر	yasser
عمق	lalim
عمق	malalim
انفجار	pagsabog
بعثة	misyon
بعثة	tiki
الهوية	pagkakakilanlan
عائشة	aisha
الخطر	panganib
السوفييتي	sobyet
المساهمة	kontribusyon
التوزيع	pamamahagi
الشارقة	sharjah
الخليل	hebron
الخليل	bf
بشير	bashir
كاتدرائية	katedral
صيد	pangangaso
سام	sam
القذافي	gaddafi
السادات	sadat
مناخ	klima
فيكتوريا	victoria
غاما	gamma
طه	taha
تايلاند	thailand
تايلاند	thai
الورق	papel
السكري	diabetes
انتخاب	halalan
الفائز	nagwagi
قمر	buwan
بوسطن	boston
بحوث	pananaliksik
دانيال	daniel
نيجيريا	nigeria
تخزين	imbakan
تخزين	tindahan
الجليد	yelo
الاستثمار	pamumuhunan
الاستثمار	mamuhunan
الاستثمار	puhunan
الميزانية	badyet
بندر	bandar
بندر	bender
عمار	ammar
عمار	amar
الطفولة	pagkabata
سمك	isda
معارضة	pagsalungat
ماكس	max
القمح	trigo
شك	pagdududa
حمراء	pula
السنوي	taunang
نقد	kritika
نقد	cash
الربع	quarter
مهنة	career
مهنة	propesyon
عميد	dean
الانترنت	online
الانترنت	internet
فريدريك	frederick
يورو	eur
يورو	euro
الظهر	tanghali
الظهر	likod
النازية	nazismo
النازية	nazi
الانفجار	sabog
الانفجار	pagsabog
الفحم	uling
الدوحة	doha
ماك	mac
مروحية	helicopter
خطوة	hakbang
فقرة	talata
ليفربول	liverpool
توليد	henerasyon
توليد	pagbuo
توليد	bumuo
التنفيذ	pagpapatupad
السمك	isda
لينكس	musang
لينكس	linux
كونان	conan
المسلم	muslim
بنغازي	benghazi
التوجه	oryentasyon
نيوتن	newton
ميزانية	badyet
موريتانيا	mauritania
عرش	trono
البعثة	misyon
البعثة	tiki
بيرو	peruvian
بيرو	peru
مفتاح	susi
الكحول	alak
الكندي	canadian
جاكسون	jackson
خبر	balita
الاستقرار	katatagan
اقتراح	imungkahi
اقتراح	proposal
اقتراح	mungkahi
غازي	ghazi
الصليب	krus
دينار	dinar
بريد	mail
كريس	chris
الكاريبي	caribbean
الشيوعية	komunista
الشيوعية	komunismo
غرناطة	granada
الكردية	kurdish
بروتوكول	protocol
رخصة	lisensya
رخصة	lisensiya
رام	ram
جغرافية	geographic
جغرافية	heograpikong
جغرافية	heograpiya
التكلفة	gastos
السنوية	taunang
النقدية	cash
تمييز	diskriminasyon
تمييز	pinagkaiba
فوكس	fox
فيكتور	victor
جونسون	johnson
كيم	kim
الطائف	taif
حيفا	haifa
السهل	madali
هوية	pagkakakilanlan
انتاج	produksyon
سوني	sony
الفارسي	persian
سيدني	sydney
الملح	asin
فنزويلا	venezuela
سنه	taon
معلم	master
معلم	guro
السفارة	embahada
القارئ	kalapagang
القارئ	reader
الاختلاف	pagkakaiba
الدبلوماسية	diplomatic
الدبلوماسية	diplomasya
الذرية	atomic
الذرية	anak
بوش	bush
بوش	bosch
وكيل	proxy
وكيل	ahente
تاج	korona
تاج	taj
واقع	katotohanan
مواطن	mamamayan
انتصار	tagumpay
انتصار	pagtatagumpay
بيير	pierre
حصان	kabayo
مستشار	consultant
مستشار	tagapayo
مستشار	adviser
الاثنين	lunes
ناسا	nasa
الخطوة	hakbang
سفارة	embahada
وهران	oran
الصديق	kaibigan
الصديق	bf
المنطق	lohika
السلامة	kaligtasan
السوفياتي	sobyet
تينيسي	tennessee
سياق	konteksto
مقعد	bench
مقعد	upuan
فورد	ford
خميس	thu
خميس	huwebes
علاوة	bonus
احد	isa
الحكمة	karunungan
منى	mona
ويليامز	williams
نادال	nadal
مسلمة	muslim
سعة	kapasidad
مستعمرة	kolonya
الخبز	tinapay
العضو	miyembro
العضو	organo
قرطبة	córdoba
قرطبة	cordoba
الجملة	pangungusap
مضيق	kipot
النمساوية	austrian
نابولي	naples
نابولي	napoli
سائل	likido
الرقص	sayaw
الرقص	sayawan
السفير	ambassador
جنيف	geneva
ماريو	mario
فيتامين	bitamina
حرارية	thermal
دوغلاس	douglas
العسل	honey
مانويل	manuel
السيادة	soberanya
الاستوائية	tropikal
التنسيق	coordinating
التنسيق	coordinate
التنسيق	koordinasyon
الدراما	drama
البندقية	shotgun
البندقية	venice
بروتين	protina
المالكي	maliki
الزيت	langis
الرقابة	oversight
الرقابة	censorship
روجر	roger
رود	rod
هواء	hangin
تايلور	taylor
اللسان	dila
القسطنطينية	constantinople
التصنيع	paggawa
تسع	siyam
ميلانو	milan
ميلانو	milano
مرشح	filter
مرشح	kandidato
معيار	criterion
معيار	norm
معيار	pamantayan
يوفنتوس	juventus
الطابق	sahig
حزام	sinturon
يوتا	utah
ملخص	buod
وفد	delegasyon
موريس	maurice
نوكيا	nokia
القهوة	kape
سكر	asukal
سرقسطة	zaragoza
كازاخستان	kazakhstan
يوغوسلافيا	yugoslavia
السويسري	swiss
سلوفاكيا	eslobako
سلوفاكيا	slovakia
صالة	pahingahan
صالة	hall
عظم	buto
العاج	ivory
كاتبة	manunulat
الاستخبارات	katalinuhan
دلتا	delta
هارون	aaron
الكاميرون	cameroon
تاون	bayan
تويوتا	toyota
قطار	tren
سيمون	simon
الويكي	wiki
حسان	hassan
حسان	hasan
جيمي	jimmy
فرناندو	fernando
داعش	isis
محلول	solusyon
صحفية	mamamahayag
هرمون	hormone
بروس	bruce
فلاديمير	vladimir
لويزيانا	louisiana
السريانية	syriac
الحليب	gatas
انضمت	sumali
صارت	naging
الحرام	haram
اليونسكو	unesco
توني	tony
ليل	lil
ليل	gabi
الخفيفة	liwanag
الفضة	pilak
البروتستانتية	protestantismo
البروتستانتية	protestant
الري	patubig
الجغرافيا	heograpiya
الفقرة	talata
صوفيا	sofia
جوهر	kakanyahan
كين	ken
هيوستن	houston
بيدرو	pedro
ستالين	stalin
روي	roy
مغامرة	pakikipagsapalaran
المرجع	sanggunian
الحصان	kabayo
القطر	diameter
بكين	beijing
بكين	peking
فرجينيا	virginia
غانا	ghana
ويلسون	wilson
جيني	jenny
الكوفة	kufa
ماريلاند	maryland
صعبة	hard
صعبة	matigas
صعبة	mahirap
الالتزام	obligasyon
الالتزام	pangako
الفائدة	interes
الفائدة	utilidad
بايت	byte
بايت	bytes
اللجوء	resort
اللجوء	asylum
السلطنة	sultanato
كينيا	kenya
العميل	kliyente
العميل	ahente
سائق	driver
ستيف	steve
السياق	konteksto
ندوة	symposium
ندوة	seminar
كندية	canadian
المواطن	mamamayan
ديمقراطية	democratic
ديمقراطية	demokrasya
فيرمونت	vermont
باري	barry
بوي	boy
بوي	boi
سقف	kisame
سقف	bubong
التردد	dalas
العقبة	aqaba
العقبة	hadlang
الكنيست	knesset
الخلق	paglikha
كربلاء	karbala
قط	pusa
التدفق	daloy
فضية	pilak
بوصة	pulgada
تيمور	timor
الوثيقة	dokumento
رقمية	digital
تايوان	taiwan
كريستوفر	christopher
النوعية	husay
النوعية	kalidad
حافة	gilid
خارطة	mapa
والتر	walter
بورتو	porto
صيانة	pagpapanatili
كلب	aso
الفك	panga
الفاتيكان	vatican
المصنع	pabrika
المصنع	tagagawa
ليو	leo
قنبلة	bomba
السنغال	senegal
الكلب	aso
كلارك	clark
يوتيوب	youtube
الجرعة	dosis
وارنر	warner
لولا	lola
تربة	lupa
صنعت	ginawa
فرانكفورت	frankfurt
المؤسس	tagapagtatag
استقرار	katatagan
تويتر	twitter
صف	describe
صف	klase
صف	hilera
المعدن	metal
ماركوس	marcus
توازن	balanseng
توازن	balanse
الكونغرس	kongreso
بنما	panama
باتريك	patrick
روماني	romanian
روماني	roman
جهاد	jihad
مونتانا	montana
المجرة	galaxy
متصلة	nakakonekta
ميامي	miami
غربية	kanluranin
تلقت	natanggap
بوت	bot
العينة	sample
العينة	specimen
حمى	lagnat
كود	code
كود	cod
بايرن	bayern
بايرن	byron
عقوبة	parusa
عقوبة	kaparusahan
بنسلفانيا	pennsylvania
البلجيكي	belgian
الضعف	kahinaan
بافاريا	bavaria
بوليفيا	bolivia
المنامة	manama
جسد	katawan
عاصفة	bagyo
مرجع	sanggunian
هاواي	hawaii
كينيدي	kennedy
كامبريدج	cambridge
قاع	ibaba
معدن	metal
معدن	mineral
البولندية	polish
دالاس	dallas
نانسي	nancy
مول	mall
مول	mol
العبادة	pagsamba
عرفات	arafat
روبن	robin
جوسون	joseon
ستريت	kalye
القرم	crimea
الليبرالية	liberal
الليبرالية	liberalismo
مور	mor
مور	moore
دييغو	diego
كييف	kyiv
كييف	kiev
القولون	colon
مارشال	marshall
تلوث	polusyon
الحداد	panday
الحداد	pagluluksa
تشيكوسلوفاكيا	czechoslovakia
سانتياغو	santiago
فرانكلين	franklin
شكسبير	shakespeare
مدونة	blog
الدمام	dammam
البوذية	budismo
البوذية	budista
البلازما	plasma
مؤقت	pansamantala
مؤقت	timer
فالنسيا	valencia
طعام	pagkain
هولمز	holmes
يورك	york
ابراهيم	ibrahim
ابراهيم	abraham
نبي	propeta
النمساوي	austrian
الاضطراب	disorder
مسيسيبي	mississippi
التقدير	pagpapahalaga
التقدير	pagtantiya
التقدير	diskresyon
الصداقة	pagkakaibigan
بروكلين	brooklyn
الاستمرار	magpatuloy
ميثاق	compact
ميثاق	charter
المواصلات	transportasyon
مدغشقر	madagascar
كارلو	carlo
كاثرين	catherine
تشيلسي	chelsea
تنس	tennis
سمكة	isda
رزق	kabuhayan
ليتوانيا	lithuanian
ليتوانيا	lithuania
ميجا	mega
عريضة	petisyon
مايك	mike
الطيف	spectrum
دافيد	david
الدرع	kalasag
كرسي	upuan
فيل	elepante
اللبن	yogurt
اللبن	gatas
مؤقتة	pansamantala
محمولة	portable
مدرس	guro
ماركو	marco
لوكسمبورغ	luxembourg
الجد	lolo
كلينتون	clinton
الهزيمة	pagkatalo
ديترويت	detroit
تشاد	chad
المغناطيسية	magnetismo
المغناطيسية	magnetic
المقارنة	anatomiyang
المقارنة	paghahambing
تومي	tommy
جلد	leather
جلد	balat
الجفاف	tagtuyot
نافذة	bintana
سرقة	pagnanakaw
الروحية	espirituwal
سامسونج	samsung
